name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Calling My Phone,0.907,0.393,-7.636,0,4,0.0539,0.451,0.00000135,0.135,0.202,104.949
Wicked Game,0.755,0.835,-6.727,1,9,0.0537,0.0202,0.000999,0.145,0.471,125.005
You Right,0.828,0.621,-6.414,1,8,0.0565,0.0164,0.00233,0.0845,0.436,128.986
Whoopty,0.719,0.648,-7.6,0,3,0.125,0.2,0,0.127,0.66,140.201
Electric Love,0.611,0.797,-7.627,0,6,0.0533,0.00543,0.00137,0.26,0.518,120.041
When Hello Means Goodbye,0.741,0.475,-7.665,1,2,0.205,0.0214,0,0.351,0.597,166.016
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",0.601,0.703,-6.24,1,7,0.0379,0.175,0.000084,0.571,0.673,106.164
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.824,0.862,-3.424,1,2,0.126,0.0076,0.000132,0.303,0.801,122.98
Hawái,0.783,0.727,-3.454,0,6,0.389,0.185,0.0000246,0.0626,0.558,180.067
Mood (feat. iann dior),0.7,0.722,-3.558,0,7,0.0369,0.221,0,0.272,0.756,90.989
Paid,0.861,0.631,-10.286,1,8,0.23,0.0188,0.000283,0.0954,0.675,117.993
drivers license,0.585,0.436,-8.761,1,10,0.0601,0.721,0.0000131,0.105,0.132,143.874
Lemonade,0.799,0.66,-6.153,0,1,0.079,0.256,0,0.111,0.471,140.04
K Boy Bye,0.547,0.865,-5.058,0,7,0.0483,0.0141,0,0.245,0.638,159.87
Up,0.868,0.795,-6.044,1,11,0.269,0.0012,0.0193,0.0461,0.819,166
Just The Two of Us,0.592,0.214,-13.468,1,1,0.115,0.936,0.0000162,0.253,0.422,81.672
Play With Me,0.714,0.666,-6.012,1,6,0.0756,0.223,0,0.102,0.486,95.065
Best Friend (feat. Doja Cat),0.84,0.766,-4.12,1,4,0.136,0.00302,0.00000361,0.0684,0.402,94.018
Cupid's Chokehold / Breakfast in America,0.72,0.744,-6.938,0,1,0.12,0.237,0,0.255,0.619,78.953
Forever,0.75,0.879,-4.88,0,4,0.0427,0.0233,0,0.193,0.333,124.038
The Business,0.798,0.62,-7.079,0,8,0.232,0.414,0.0192,0.112,0.235,120.031
telepatía,0.653,0.524,-9.016,0,11,0.0502,0.112,0,0.203,0.553,83.97
"Gravity (feat. Tyler, The Creator)",0.539,0.615,-8.746,0,1,0.252,0.173,0.0056,0.144,0.493,163.924
motive (with Doja Cat),0.789,0.742,-5.664,0,10,0.0652,0.0681,0,0.166,0.661,116.965
Feel Your Love,0.68,0.778,-6.294,1,6,0.0433,0.0705,0,0.31,0.511,124.981
Lost on You,0.599,0.692,-4.43,0,1,0.0739,0.124,0,0.375,0.307,121.796
Good Days,0.436,0.655,-8.37,0,1,0.0583,0.499,0.0000081,0.688,0.412,121.002
What You Know Bout Love,0.709,0.548,-8.493,1,10,0.353,0.65,0.00000159,0.133,0.543,83.995
Rude Boy,0.739,0.734,-6.062,1,6,0.259,0.0242,0,0.0921,0.471,101.995
WAP (feat. Megan Thee Stallion),0.935,0.454,-7.509,1,1,0.375,0.0194,0,0.0824,0.357,133.073
Savage Love (Laxed - Siren Beat),0.767,0.481,-8.52,0,0,0.0803,0.234,0,0.269,0.761,150.076
dirty laundry,0.766,0.64,-8.899,1,0,0.0345,0.051,0,0.237,0.67,100.044
HOLIDAY,0.81,0.511,-6.924,0,5,0.164,0.12,0,0.0832,0.837,151.947
WITHOUT YOU,0.662,0.413,-7.357,1,0,0.0299,0.213,0,0.134,0.467,93.005
Fly,0.676,0.842,-5.98,1,8,0.239,0.0578,0.00137,0.209,0.388,140.142
ROCKSTAR (feat. Roddy Ricch),0.746,0.69,-7.956,1,11,0.164,0.247,0,0.101,0.497,89.977
34+35,0.83,0.585,-6.476,1,0,0.094,0.237,0,0.248,0.485,109.978
Rover (feat. DTG),0.613,0.624,-6.66,0,11,0.206,0.496,0,0.283,0.803,62.948
Put Your Records On,0.399,0.492,-10.777,0,6,0.0538,0.058,0.00101,0.11,0.159,91.066
Mood Swings (feat. Lil Tjay),0.48,0.602,-6.335,0,10,0.368,0.487,0,0.0848,0.269,179.798
Therefore I Am,0.889,0.34,-7.773,0,11,0.0697,0.218,0.13,0.055,0.716,94.009
Wild & Free,0.474,0.722,-6.209,1,2,0.0355,0.0604,0,0.584,0.274,155.941
Glad You Came,0.732,0.919,-4.634,0,6,0.115,0.0271,0.000866,0.375,0.136,125.997
For The Night (feat. Lil Baby & DaBaby),0.823,0.586,-6.606,0,6,0.2,0.114,0,0.193,0.347,125.971
Backyard Boy,0.819,0.642,-7.037,1,5,0.189,0.336,0,0.0735,0.452,138.026
TKN (feat. Travis Scott),0.776,0.509,-6.266,0,0,0.467,0.192,0.00000149,0.115,0.485,94.634
Say It Right,0.712,0.816,-6.56,0,5,0.0447,0.152,0.0519,0.24,0.449,125.976
Without You,0.625,0.698,-5.804,1,0,0.146,0.0107,0,0.156,0.204,120.119
Play Date,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97
Freak,0.688,0.716,-5.702,1,7,0.0385,0.0969,0,0.0989,0.373,116.912
Falling Down,0.574,0.852,-9.051,1,5,0.0438,0.032,0.0705,0.136,0.0363,123.005
Wait a Minute!,0.764,0.705,-5.279,0,3,0.0278,0.0371,0.0000194,0.0943,0.672,101.003
